ergebnisdatei;quelle;ausgabedatei1;breite1;titel1;untertitel1;ausgabedatei2;breite2;titel2;untertitel2;ausgabedatei3;breite3;titel3;untertitel3
data/processed/ergebnis_wachauer_radtage2023.csv;https://events.racetime.pro/de/event/624/competition/3788/results;output/wachauer_radtage2023_punktediagramm.png;1900;Wachauer Radtage 2023;Genuss Radtour 53 km;output/wachauer_radtage2023_kategoriendiagramm.png;1200;Wachauer Radtage 2023;Genuss Radtour 53 km;output/wachauer_radtage2023_dichtediagramm.png;1100;Wachauer Radtage 2023;Genuss Radtour 53 km
data/processed/ergebnis_sturmkriterium2023.csv;https://events.racetime.pro/de/event/804/competition/4960/results;output/sturmkriterium2023_punktediagramm.png;1900;Sturmkriterium 2023;Staubiger 80 km;output/sturmkriterium2023_kategoriendiagramm.png;1200;Sturmkriterium 2023;Staubiger 80 km;output/sturmkriterium2023_dichtediagramm.png;1100;Sturmkriterium 2023;Staubiger 80 km
